A,B,DISTANCE,LINKID,TAZID,HOT_ZONEID,LANES,FT,SEGID,geometry
21964,21966,0.006863286202534742,21964_21966,1919,0,1,39,,"LINESTRING (423966 4490155, 423977 4490154)"
21964,22030,0.2546824855670556,21964_22030,1973,0,1,38,,"LINESTRING (423966 4490155, 423903 4490560)"
21966,21964,0.006863286202534742,21966_21964,1919,0,1,39,,"LINESTRING (423977 4490154, 423966 4490155)"
21966,22032,0.2542629601407989,21966_22032,1918,0,5,34,,"LINESTRING (423977 4490154, 423912 4490558)"
21970,21923,0.253135996571533,21970_21923,1989,0,5,34,,"LINESTRING (423936 4490214, 424002 4489812)"
21970,21971,0.006244718717686064,21970_21971,1973,0,1,39,,"LINESTRING (423936 4490214, 423946 4490215)"
21971,21924,0.25895815965022956,21971_21924,1989,0,1,38,,"LINESTRING (423946 4490215, 424015 4489804)"
21971,21970,0.006244718717686064,21971_21970,1973,0,1,39,,"LINESTRING (423946 4490215, 423936 4490214)"
21986,22017,0.12545582236133385,21986_22017,1918,0,3,41,,"LINESTRING (424046.36869 4490187.40173, 423992.3202 4490381.934)"
21989,21958,0.11744109105852754,21989_21958,1973,0,3,42,,"LINESTRING (423881 4490377, 423882 4490188)"
21994,22018,0.05595460630992942,21994_22018,1303,0,2,33,,"LINESTRING (406252 4508045, 406342 4508042)"
21999,21716,1.0470449230679053,21999_21716,907,0,2,35,0080_104.3,"LINESTRING (401625 4512703, 400430.6315 4511514.353)"
22006,22284,0.9372002484335917,22006_22284,907,0,2,35,0080_104.3,"LINESTRING (401648 4512693, 402681 4513792)"
22017,22032,0.12024898392981652,22017_22032,1918,0,3,41,,"LINESTRING (423992.3202 4490381.934, 423912 4490558)"
22018,22163,0.7021687885898804,22018_22163,1303,0,2,33,0201_006.2,"LINESTRING (406342 4508042, 407472 4508034)"
22019,21994,0.05344166786196707,22019_21994,1303,0,2,33,,"LINESTRING (406338 4508046, 406252 4508045)"
22030,22095,0.36106087167400686,22030_22095,1973,0,1,38,0015_293.6,"LINESTRING (423903 4490560, 423854 4491139)"
22031,21970,0.23314067377384962,22031_21970,1973,0,5,34,,"LINESTRING (423880 4490585, 423936 4490214)"
22031,21989,0.1292470228989918,22031_21989,1973,0,3,42,,"LINESTRING (423880 4490585, 423881 4490377)"
22032,22098,0.36286678197597444,22032_22098,1908,0,5,34,0015_293.6,"LINESTRING (423912 4490558, 423864 4491140)"
22036,21971,0.23498407686846157,22036_21971,1973,0,1,38,,"LINESTRING (423890 4490589, 423946 4490215)"
22057,22091,0.19686928007901208,22057_22091,1722,0,1,42,,"LINESTRING (417424 4497170, 417494 4497479)"
